iter	F1	Logloss
0	0.6224300222	0.6920087685
1	0.6223755382	0.6908505866
2	0.6301649755	0.6896180308
3	0.6419666861	0.6884195841
4	0.6467694038	0.6872049473
5	0.6477942257	0.686054944
6	0.6491279716	0.6849361935
7	0.6478400648	0.6838409743
8	0.6476477034	0.6827974933
9	0.6501358519	0.6817789935
10	0.6484508373	0.6807266828
11	0.6486680391	0.6796434424
12	0.6492429521	0.6786222319
13	0.6471531435	0.6775670388
14	0.6471232059	0.6765608282
15	0.646537469	0.6755977668
16	0.6481949394	0.6746455966
17	0.6478642802	0.6736297105
18	0.647261257	0.6726336638
19	0.6477755644	0.6717230632
20	0.6474332839	0.6708207746
21	0.6472722311	0.6699647615
22	0.6472306328	0.6690625303
23	0.6468384299	0.6681857631
24	0.6465030213	0.6673072178
25	0.6466187439	0.6664393993
26	0.6468435877	0.665579102
27	0.6469336009	0.6648033938
28	0.646538047	0.6639803243
29	0.6465772307	0.6631391584
30	0.6467974376	0.6623450668
31	0.647125071	0.6615294398
32	0.6475163835	0.660782146
33	0.6473788513	0.6600398823
34	0.6473990656	0.6592880633
35	0.6474899985	0.6585376367
36	0.6474950653	0.6578110826
37	0.6472580044	0.6570685897
38	0.6471945712	0.6563061513
39	0.6473055343	0.6556252398
40	0.6472419169	0.6548992438
41	0.6475158844	0.654207056
42	0.6478744544	0.653544351
43	0.6482403466	0.6529077397
44	0.6482131969	0.6522708052
45	0.6484827771	0.6516024146
46	0.6484844463	0.6509654839
47	0.648285854	0.6502794692
48	0.6482997593	0.6496161597
49	0.6484079361	0.6490433281
50	0.6485714474	0.6484349194
51	0.6485049659	0.6478137152
52	0.6486807119	0.6472046899
53	0.648494493	0.646593083
54	0.6487904918	0.646013669
55	0.6490138154	0.6454647126
56	0.6491656383	0.6448865403
57	0.6489666321	0.6443011458
58	0.6490291809	0.643752654
59	0.6491829886	0.6432096719
60	0.6489968164	0.6427009197
61	0.6488495489	0.6421449342
62	0.6487084967	0.6416002565
63	0.6483891268	0.6410707293
64	0.648113863	0.640539142
65	0.6481510398	0.6400555962
66	0.648003446	0.6395555124
67	0.6482603404	0.6390764472
68	0.6482212374	0.6386253667
69	0.6482184677	0.6381492635
70	0.648354905	0.6377045435
71	0.6482948173	0.6372348908
72	0.6483693803	0.6367960574
73	0.6481846778	0.636335691
74	0.6483253219	0.6359007371
75	0.6481733001	0.6354898001
76	0.6479667431	0.6350656077
77	0.6479306071	0.6346234205
78	0.6480903169	0.6341989072
79	0.6481083693	0.6337572275
80	0.6483196447	0.6333373429
81	0.6483455069	0.6329088533
82	0.6481886466	0.6324859215
83	0.6483460641	0.6321036831
84	0.6484728738	0.6317551217
85	0.6485074944	0.631361821
86	0.6487824906	0.6309723321
87	0.6487943676	0.6305888172
88	0.6486422554	0.630191274
89	0.6487592471	0.6298450673
90	0.648734579	0.6294761155
91	0.6487551578	0.6291001439
92	0.648785985	0.6287602553
93	0.6488275702	0.6284090302
94	0.6487421974	0.6280274786
95	0.648612089	0.6276837241
96	0.6487825929	0.6273227106
97	0.6486383322	0.6269805873
98	0.6486065089	0.6266623572
99	0.6487527476	0.6263559622
100	0.6486824598	0.6260398171
101	0.6487018567	0.6257330086
102	0.6487454225	0.6254334507
103	0.6486807805	0.6251040463
104	0.648755979	0.6247978697
105	0.6488334461	0.624496984
106	0.6487510239	0.6241953555
107	0.6486961172	0.6238908322
108	0.6487073974	0.6235715073
109	0.6486028983	0.6232641742
110	0.6486065519	0.6229834629
111	0.6485916129	0.622689733
112	0.6487521012	0.6224137797
113	0.6487429623	0.6221781748
114	0.6489426469	0.6218996005
115	0.6490966443	0.6216312257
116	0.6489769049	0.6213546529
117	0.6488788821	0.6211103242
118	0.6488428685	0.6208594281
119	0.6491122598	0.6205955637
120	0.6493263402	0.6203289579
121	0.6493364026	0.6200692066
122	0.6494113941	0.6198116361
123	0.6492067282	0.6195631661
124	0.6492938507	0.6193153362
125	0.6493142348	0.619082242
126	0.6491960668	0.618841834
127	0.649234628	0.6186346382
128	0.6493401853	0.6184113743
129	0.6492924799	0.6181883748
130	0.6492071173	0.6179537892
131	0.6494259985	0.6177226074
132	0.6493441334	0.6175088519
133	0.649305525	0.617267667
134	0.6493148698	0.6170395214
135	0.6494034584	0.616826433
136	0.6493949902	0.6166329038
137	0.6494869518	0.616437787
138	0.6494547122	0.6162104
139	0.6494558419	0.6159894424
140	0.6495516678	0.6157988766
141	0.649610682	0.6155981514
142	0.6496194061	0.6153850325
143	0.6496322298	0.6151827398
144	0.6496928567	0.6149828326
145	0.6496552811	0.6147876224
146	0.6497465782	0.6145895768
147	0.649719228	0.6144138102
148	0.6498086852	0.6142418646
149	0.649843423	0.6140663603
150	0.6498488736	0.6138908407
151	0.6499009795	0.6137112109
152	0.6498261538	0.6135415222
153	0.6499669427	0.6133744942
154	0.6499456121	0.613181706
155	0.6500045262	0.6130266173
156	0.6500512841	0.6128629367
157	0.6499800149	0.612714698
158	0.6499971548	0.6125759184
159	0.6500487869	0.6124286478
160	0.6500361034	0.6122552957
161	0.6501046762	0.6121060025
162	0.6501592679	0.6119526123
163	0.6501793308	0.611799132
164	0.6502543707	0.611629817
165	0.6503288411	0.6114665286
166	0.6503423934	0.6113232643
167	0.6503372583	0.611186531
168	0.6503418228	0.611031729
169	0.6504437996	0.6108840782
170	0.6504450298	0.610747956
171	0.6504580819	0.6105905931
172	0.6504757647	0.6104466941
173	0.6504057429	0.6103224634
174	0.6505061757	0.6101732626
175	0.6506108548	0.6100320107
176	0.6506467352	0.6098861135
177	0.650594846	0.6097538228
178	0.6506745159	0.6096132714
179	0.6506685417	0.6094813326
180	0.6507363397	0.609353019
181	0.6507592053	0.6092371403
182	0.6507950878	0.6090971944
183	0.6507651411	0.608981185
184	0.6508134748	0.60886695
185	0.6508783837	0.6087390099
186	0.6508699486	0.6086122854
187	0.6507643983	0.6084930378
188	0.6508344407	0.6083824826
189	0.650929077	0.6082585905
190	0.6510428733	0.6081583641
191	0.6510728043	0.6080439809
192	0.6511593321	0.6079378697
193	0.6510983168	0.6078395244
194	0.6511209595	0.6077361512
195	0.6510676175	0.6076340693
196	0.651162017	0.6075221611
197	0.6510624403	0.6074094925
198	0.6510434269	0.607300633
199	0.6510802792	0.6072078807
200	0.651153959	0.6071003235
201	0.6511200001	0.6069889207
202	0.6511117504	0.6068732773
203	0.6511921351	0.6067745448
204	0.6513055042	0.6066855244
205	0.6512255184	0.606602262
206	0.6512161275	0.6065088028
207	0.6511629817	0.6064105512
208	0.6512594792	0.6062988583
209	0.6512435736	0.6062048789
210	0.6511954148	0.6061159044
211	0.6512771518	0.606022088
212	0.651234938	0.6059082069
213	0.6511727734	0.6058168611
214	0.6512549039	0.6057372984
215	0.6513610013	0.6056481435
216	0.6513308866	0.6055624831
217	0.651352984	0.6054739909
218	0.6513637023	0.6053923955
219	0.6513360608	0.6053048643
220	0.6513475829	0.605215647
221	0.6513445318	0.6051441252
222	0.6513815774	0.6050694074
223	0.6514015069	0.6049817749
224	0.6514857227	0.6049077337
225	0.6515319831	0.6048319841
226	0.6515697881	0.6047434843
227	0.6515465857	0.6046591918
228	0.651583593	0.6045809257
229	0.6515149595	0.6045060737
230	0.651602963	0.6044238171
231	0.6516611172	0.6043443238
232	0.6516731818	0.6042594465
233	0.6517006085	0.6041868011
234	0.6517839815	0.6041104411
235	0.6518270456	0.604043333
236	0.6518924239	0.6039704678
237	0.6519019108	0.6039067565
238	0.6519055636	0.6038486682
239	0.6520009858	0.6037815989
240	0.6519477541	0.6037004548
241	0.6520077998	0.6036431113
242	0.6520447578	0.6035560527
243	0.6519922687	0.6034716764
244	0.6520088816	0.6034059977
245	0.6520647745	0.6033262181
246	0.6520622829	0.6032562444
247	0.6521007302	0.6031956263
248	0.6520656866	0.6031211157
249	0.6521204231	0.6030454978
250	0.6521778882	0.6029717802
251	0.6521335342	0.6028994232
252	0.6521749478	0.6028404214
253	0.6521859129	0.6027900319
254	0.6521673409	0.6027250308
255	0.6521254062	0.6026548522
256	0.6520989982	0.6025947376
257	0.652119423	0.6025325969
258	0.6521082935	0.6024688862
259	0.6521166039	0.6024018971
260	0.6521616135	0.6023456851
261	0.6521840353	0.6023002098
262	0.6522019931	0.6022499606
263	0.6522327945	0.6021957134
264	0.6522914165	0.6021433094
265	0.6523106029	0.6020782442
266	0.6522729727	0.6020188899
267	0.6522533072	0.601962465
268	0.6523120357	0.6019062274
269	0.652311186	0.6018472962
270	0.6523791804	0.6017862961
271	0.6524033476	0.6017358262
272	0.6523900391	0.6016901395
273	0.652383151	0.601638317
274	0.6523675801	0.6015961007
275	0.6523622843	0.6015469676
276	0.652355978	0.6014967923
277	0.6523470228	0.6014524889
278	0.6523744264	0.6014017053
279	0.6524240563	0.6013544929
280	0.6524155316	0.6013008675
281	0.6523954425	0.6012447541
282	0.652430052	0.6012009888
283	0.6524631786	0.6011519469
284	0.6524852928	0.6011035795
285	0.6524789875	0.601051879
286	0.6524751735	0.6010068252
287	0.6524696062	0.6009570124
288	0.6525106375	0.6008997128
289	0.652505835	0.6008539777
290	0.6525491982	0.6008107923
291	0.6525540285	0.6007648499
292	0.6525779188	0.60072583
293	0.6525849568	0.6006734321
294	0.6526041466	0.6006327618
295	0.6526016401	0.6005882374
296	0.6525784852	0.6005489718
297	0.6526382689	0.6005009904
298	0.6526662536	0.6004535924
299	0.6526867653	0.6004041554
300	0.6526464759	0.6003675251
301	0.6526573127	0.6003211435
302	0.6527370178	0.6002782438
303	0.6527352597	0.6002432929
304	0.6527299846	0.6002023475
305	0.6527483002	0.6001662603
306	0.6527812669	0.6001284113
307	0.6527398023	0.6000868368
308	0.6526885116	0.6000474084
309	0.6526731256	0.5999996795
310	0.6527787762	0.5999651018
311	0.6528706426	0.5999241831
312	0.6528189255	0.5998951752
313	0.6528335824	0.5998584592
314	0.652920028	0.5998156874
315	0.6529434524	0.5997784403
316	0.6529604369	0.5997431301
317	0.6529418308	0.5997042376
318	0.6529895912	0.5996589162
319	0.6530237254	0.599626163
320	0.6530314718	0.5995949323
321	0.6530557437	0.5995644287
322	0.6530599972	0.5995375316
323	0.6529907361	0.5995022869
324	0.6530134547	0.5994688105
325	0.6530278061	0.5994281788
326	0.6530694068	0.5993940017
327	0.6531241788	0.5993643304
328	0.6530752483	0.599335171
329	0.6531152164	0.5992950208
330	0.6531128629	0.5992615466
331	0.653061624	0.5992375138
332	0.6530720335	0.5992059154
333	0.6531494782	0.5991765266
334	0.6531540027	0.5991373382
335	0.6531659939	0.5991022629
336	0.6531661282	0.5990718613
337	0.6532045056	0.5990422522
338	0.6532197621	0.5990064769
339	0.6532022056	0.5989806435
340	0.65321144	0.5989525549
341	0.6532095398	0.5989205194
342	0.6532382907	0.5988888474
343	0.6532741879	0.5988547454
344	0.6532857171	0.5988259229
345	0.6533063495	0.5987953425
346	0.6533352376	0.598758615
347	0.6532922023	0.598727129
348	0.6533001291	0.5986987811
349	0.6532986885	0.5986678674
350	0.6532947582	0.5986416548
351	0.6533218825	0.5986201871
352	0.653349728	0.5985965746
353	0.6533120544	0.5985694989
354	0.6533281713	0.5985367166
355	0.6533760606	0.5985078017
356	0.6533732381	0.5984795415
357	0.6533655667	0.5984536835
358	0.6533841699	0.5984267801
359	0.653419605	0.5984047335
360	0.653422221	0.5983803405
361	0.6534846885	0.5983546485
362	0.6535076747	0.5983265257
363	0.6534690414	0.5982977922
364	0.653517628	0.598275345
365	0.6535880109	0.5982480324
366	0.6535544838	0.5982174799
367	0.6535786502	0.5981880304
368	0.6536171529	0.5981615133
369	0.6536326721	0.5981390946
370	0.6536577916	0.5981166147
371	0.6536433363	0.598096883
372	0.6536736611	0.5980752001
373	0.653691787	0.5980504982
374	0.6536818363	0.5980322113
375	0.6536631181	0.5980050223
376	0.6537109768	0.5979833545
377	0.6537475801	0.597957933
