iter	Passed	Remaining
0	234	5874671
1	427	5345437
2	623	5192885
3	819	5118075
4	1005	5026874
5	1196	4985876
6	1403	5011093
7	1643	5134355
8	1849	5134314
9	2049	5121092
10	2235	5079475
11	2429	5059587
12	2638	5072105
13	2848	5082907
14	3057	5093068
15	3244	5065672
16	3436	5050439
17	3625	5031523
18	3806	5004202
19	4011	5009992
20	4228	5029187
21	4416	5014677
22	4600	4995422
23	4800	4996231
24	4973	4968325
25	5162	4958478
26	5362	4960218
27	5555	4955157
28	5755	4955767
29	5937	4942278
30	6123	4932293
31	6321	4932204
32	6497	4916076
33	6686	4910095
34	6864	4896175
35	7062	4897607
36	7257	4896782
37	7440	4887864
38	7643	4892008
39	7863	4906877
40	8104	4933939
41	8295	4929681
42	8504	4936236
43	8716	4943689
44	8915	4944234
45	9109	4941565
46	9310	4943160
47	9501	4939119
48	9719	4949209
49	9921	4950896
50	10137	4959193
51	10318	4950660
52	10526	4954837
53	10723	4954024
54	10900	4943820
55	11099	4943943
56	11347	4965562
57	11541	4963038
58	11718	4953887
59	11926	4957491
60	12110	4951153
61	12314	4953291
62	12516	4954272
63	12720	4956276
64	12901	4949237
65	13102	4950059
66	13296	4948115
67	13492	4946808
68	13681	4943440
69	13885	4945053
70	14085	4945681
71	14297	4950210
72	14503	4952507
73	14711	4955511
74	14906	4954078
75	15100	4952030
76	15298	4951601
77	15495	4951119
78	15692	4950249
79	15878	4946160
80	16071	4944141
81	16266	4943029
82	16455	4940151
83	16662	4942278
84	16869	4944889
85	17087	4950270
86	17400	4982691
87	17592	4980331
88	17785	4978176
89	17995	4980764
90	18184	4977683
91	18351	4968590
92	18533	4963626
93	18732	4963268
94	18927	4961978
95	19135	4964076
96	19312	4958208
97	19497	4954252
98	19756	4969246
99	20018	4984662
100	20200	4979844
101	20376	4973881
102	20573	4973059
103	20773	4972941
104	20960	4969595
105	21181	4974486
106	21381	4974223
107	21574	4972511
108	21775	4972580
109	22007	4979654
110	22199	4977701
111	22379	4973122
112	22563	4969251
113	22748	4966048
114	22950	4966216
115	23118	4959298
116	23345	4965062
117	23545	4964912
118	23750	4965903
119	23961	4967986
120	24163	4968312
121	24345	4964396
122	24547	4964717
123	24743	4963798
124	24934	4962023
125	25133	4961582
126	25343	4963558
127	25542	4963275
128	25757	4965948
129	25993	4972669
130	26207	4975205
131	26395	4972773
132	26596	4972746
133	26780	4969627
134	26965	4966651
135	27146	4963096
136	27327	4959408
137	27486	4951951
138	27675	4949857
139	27881	4951013
140	28074	4949747
141	28258	4946746
142	28445	4944470
143	28630	4941985
144	28813	4939085
145	28991	4935333
146	29190	4935215
147	29363	4930740
148	29547	4928008
149	29753	4929112
150	29912	4922567
151	30084	4918054
152	30257	4913720
153	30433	4910139
154	30626	4909092
155	30821	4908535
156	31007	4906559
157	31220	4908782
158	31401	4905932
159	31614	4908187
160	31810	4907718
161	31985	4904107
162	32199	4906307
163	32380	4903643
164	32627	4910957
165	32808	4908176
166	32993	4906208
167	33157	4900921
168	33362	4901932
169	33553	4900757
170	33727	4897137
171	33905	4894287
172	34078	4890518
173	34244	4885884
174	34437	4885230
175	34633	4884891
176	34806	4881319
177	34985	4878689
178	35191	4879781
179	35356	4875328
180	35529	4871913
181	35725	4871603
182	35923	4871602
183	36095	4868186
184	36270	4865159
185	36436	4860879
186	36621	4859268
187	36805	4857480
188	37015	4859218
189	37190	4856350
190	37355	4852164
191	37551	4851921
192	37744	4851405
193	37924	4849235
194	38105	4847235
195	38286	4845161
196	38465	4842960
197	38675	4844549
198	38899	4847921
199	39108	4849465
200	39296	4848368
201	39489	4847860
202	39688	4848075
203	39874	4846726
204	40076	4847330
205	40256	4845188
206	40443	4843991
207	40641	4844148
208	40820	4841996
209	40998	4839727
210	41170	4836827
211	41344	4834213
212	41524	4832284
213	41726	4832824
214	41931	4833856
215	42132	4834272
216	42321	4833422
217	42495	4830833
218	42692	4830918
219	42882	4830151
220	43050	4826895
221	43251	4827442
222	43428	4825218
223	43617	4824356
224	43824	4825582
225	44031	4826655
226	44209	4824711
227	44397	4823754
228	44556	4819642
229	44750	4819466
230	44934	4818063
231	45115	4816464
232	45290	4814198
233	45487	4814310
234	45676	4813520
235	45898	4816204
236	46099	4816738
237	46313	4818509
238	46482	4815713
239	46667	4814544
240	46823	4810368
241	46989	4807313
242	47189	4807731
243	47364	4805526
244	47566	4806125
245	47739	4803793
246	47893	4799666
247	48079	4798659
248	48292	4800355
249	48485	4800036
250	48672	4799148
251	48845	4796946
252	49048	4797675
253	49221	4795408
254	49400	4793785
255	49539	4788289
256	49717	4786636
257	49883	4783801
258	50073	4783239
259	50254	4781907
260	50438	4780816
261	50606	4778285
262	50804	4778529
263	51039	4782235
264	51216	4780539
265	51390	4778574
266	51576	4777693
267	51737	4774548
268	51905	4772068
269	52119	4773768
270	52311	4773468
271	52492	4772216
272	52647	4768524
273	52834	4767835
274	53028	4767716
275	53209	4766471
276	53377	4764129
277	53565	4763486
278	53760	4763465
279	53960	4763961
280	54148	4763323
281	54326	4761818
282	54518	4761602
283	54714	4761677
284	54901	4761035
285	55079	4759540
286	55278	4759896
287	55443	4757344
288	55635	4757138
289	55835	4757600
290	56003	4755263
291	56185	4754196
292	56379	4754132
293	56568	4753655
294	56730	4750980
295	56899	4748777
296	57074	4747135
297	57250	4745661
298	57431	4744541
299	57609	4743182
300	57801	4742971
301	57976	4741441
302	58174	4741713
303	58368	4741682
304	58534	4739346
305	58704	4737424
306	58892	4736920
307	59067	4735368
308	59222	4732203
309	59414	4732045
310	59582	4730037
311	59756	4728451
312	59921	4726110
313	60091	4724277
314	60282	4724064
315	60484	4724697
316	60669	4723957
317	60849	4722899
318	61026	4721636
319	61216	4721305
320	61366	4717932
321	61567	4718511
322	61726	4715871
323	61907	4714919
324	62078	4713226
325	62273	4713288
326	62467	4713370
327	62653	4712787
328	62842	4712441
329	63033	4712265
330	63209	4710888
331	63392	4710103
332	63559	4708149
333	63730	4706486
334	63895	4704433
335	64083	4704007
336	64292	4705204
337	64482	4704924
338	64635	4702007
339	64794	4699518
340	64951	4696863
341	65132	4696042
342	65319	4695559
343	65508	4695310
344	65693	4694734
345	65863	4693052
346	66064	4693617
347	66226	4691416
348	66414	4691063
349	66600	4690548
350	66751	4687618
351	66933	4686875
352	67116	4686194
353	67309	4686208
354	67501	4686095
355	67704	4686801
356	67906	4687443
357	68114	4688484
358	68292	4687451
359	68472	4686560
360	68631	4684252
361	68808	4683175
362	68992	4682579
363	69141	4679563
364	69339	4679938
365	69505	4678114
366	69694	4677902
367	69890	4678073
368	70072	4677367
369	70262	4677223
370	70429	4675466
371	70574	4672354
372	70752	4671370
373	70933	4670587
374	71081	4667673
375	71235	4665152
376	71453	4666862
377	71637	4666267
378	71862	4668426
379	72011	4665605
380	72174	4663711
381	72371	4663958
382	72545	4662808
383	72708	4660927
384	72891	4660323
385	73074	4659731
386	73246	4658415
387	73448	4659059
388	73645	4659378
389	73823	4658464
390	74002	4657639
391	74168	4655978
392	74360	4655979
393	74533	4654724
394	74716	4654147
395	74867	4651613
396	75053	4651244
397	75254	4651775
398	75428	4650671
399	75595	4649134
400	75774	4648351
401	75941	4646817
402	76132	4646750
403	76320	4646464
404	76490	4645123
405	76651	4643287
406	76850	4643670
407	77020	4642357
408	77192	4641176
409	77386	4641303
410	77550	4639636
411	77713	4637887
412	77900	4637626
413	78125	4639602
414	78320	4639786
415	78489	4638445
416	78678	4638251
417	78831	4635961
418	78994	4634298
419	79181	4633978
420	79361	4633308
421	79532	4632135
422	79688	4630017
423	79851	4628356
424	80022	4627162
425	80213	4627176
426	80372	4625258
427	80537	4623758
428	80714	4622951
429	80873	4621088
430	81028	4618975
431	81216	4618837
432	81390	4617816
433	81553	4616202
434	81743	4616157
435	81931	4615973
436	82110	4615277
437	82259	4612917
438	82404	4610340
439	82586	4609847
440	82762	4608983
441	82935	4607974
442	83082	4605567
443	83282	4606040
444	83457	4605181
445	83664	4606063
446	83821	4604183
447	83997	4603349
448	84206	4604332
449	84351	4601820
450	84524	4600882
451	84690	4599529
452	84954	4603495
453	85211	4607042
454	85416	4607801
455	85584	4606543
456	85765	4605977
457	85969	4606708
458	86177	4607604
459	86319	4604948
460	86483	4603535
461	86652	4602346
462	86858	4603121
463	87046	4602958
464	87216	4601835
465	87377	4600261
466	87540	4598760
467	87712	4597768
468	87896	4597421
469	88080	4597034
470	88290	4598055
471	88461	4597005
472	88640	4596377
473	88807	4595114
474	88957	4592999
475	89121	4591610
476	89303	4591181
477	89499	4591438
478	89665	4590142
479	89833	4589005
480	90031	4589371
481	90194	4587950
482	90365	4586962
483	90551	4586718
484	90714	4585275
485	90872	4583658
486	91034	4582192
487	91218	4581875
488	91413	4582095
489	91594	4581585
490	91744	4579558
491	91886	4577153
492	92049	4575758
493	92210	4574297
494	92371	4572835
495	92579	4573748
496	92724	4571498
497	92900	4570768
498	93064	4569492
499	93212	4567422
500	93385	4566584
501	93572	4566405
502	93744	4565546
503	93925	4565070
504	94090	4563839
505	94278	4563763
506	94431	4561944
507	94597	4560791
508	94768	4559894
509	94951	4559539
510	95123	4558667
511	95282	4557195
512	95459	4556573
513	95638	4556030
514	95807	4555045
515	95966	4553583
516	96105	4551157
517	96281	4550488
518	96446	4549357
519	96620	4548587
520	96773	4546847
521	96963	4546883
522	97110	4544859
523	97302	4544971
524	97457	4543374
525	97648	4543447
526	97807	4541995
527	98008	4542546
528	98186	4542002
529	98369	4541718
530	98523	4540057
531	98713	4540058
532	98901	4539994
533	99038	4537583
534	99204	4536500
535	99403	4536967
536	99607	4537613
537	99801	4537821
538	99949	4535932
539	100103	4534300
540	100255	4532612
541	100435	4532188
542	100587	4530526
543	100753	4529449
544	100885	4526907
545	101039	4525296
546	101222	4525053
547	101372	4523302
548	101619	4525861
549	101792	4525120
550	101978	4525000
551	102178	4525463
552	102331	4523849
553	102507	4523289
554	102649	4521218
555	102838	4521216
556	103028	4521244
557	103235	4522003
558	103435	4522482
559	103607	4521736
560	103735	4519076
561	103877	4516994
562	104038	4515771
563	104216	4515328
564	104415	4515740
565	104583	4514839
566	104737	4513338
567	104907	4512508
568	105104	4512840
569	105244	4510737
570	105427	4510491
571	105573	4508648
572	105749	4508108
573	105942	4508269
574	106126	4508064
575	106274	4506355
576	106471	4506672
577	106621	4505029
578	106771	4503380
579	106930	4502134
580	107075	4500312
581	107225	4498664
582	107385	4497496
583	107551	4496552
584	107744	4496702
585	107916	4496017
586	108087	4495298
587	108221	4493020
588	108349	4490515
589	108484	4488300
590	108619	4486105
591	108829	4486993
592	109016	4486947
593	109178	4485890
594	109383	4486551
595	109590	4487344
596	109750	4486186
597	109934	4486003
598	110084	4484440
599	110227	4482565
600	110359	4480306
601	110525	4479411
602	110687	4478364
603	110863	4477857
604	111049	4477787
605	111218	4476998
606	111387	4476224
607	111555	4475426
608	111707	4473981
609	111896	4474016
610	112079	4473839
611	112218	4471854
612	112359	4470019
613	112524	4469085
614	112659	4466985
615	112869	4467880
616	113011	4466050
617	113178	4465232
618	113322	4463532
619	113478	4462261
620	113670	4462424
621	113825	4461143
622	113980	4459862
623	114123	4458138
624	114302	4457808
625	114492	4457888
626	114660	4457125
627	114855	4457418
628	115022	4456604
629	115170	4455081
630	115344	4454575
631	115525	4454304
632	115710	4454201
633	115922	4455165
634	116091	4454442
635	116294	4455048
636	116443	4453568
637	116607	4452655
638	116800	4452854
639	116962	4451897
640	117135	4451340
641	117293	4450219
642	117471	4449846
643	117674	4450420
644	117827	4449113
645	118032	4449788
646	118179	4448277
647	118368	4448323
648	118530	4447366
649	118675	4445776
650	118821	4444211
651	119026	4444861
652	119166	4443109
653	119316	4441708
654	119472	4440540
655	119655	4440370
656	119808	4439101
657	119981	4438590
658	120155	4438095
659	120333	4437736
660	120480	4436274
661	120637	4435162
662	120806	4434489
663	120994	4434530
664	121171	4434142
665	121331	4433156
666	121476	4431605
667	121668	4431795
668	121839	4431219
669	122009	4430589
670	122189	4430337
671	122330	4428649
672	122509	4428371
673	122676	4427634
674	122855	4427330
675	123005	4426024
676	123201	4426342
677	123389	4426365
678	123543	4425182
679	123687	4423658
680	123828	4422005
681	124024	4422322
682	124194	4421729
683	124383	4421814
684	124536	4420574
685	124732	4420899
686	124879	4419490
687	125021	4417911
688	125151	4415912
689	125299	4414547
690	125428	4412501
691	125579	4411242
692	125773	4411503
693	125941	4410862
694	126102	4409962
695	126291	4410045
696	126430	4408387
697	126595	4407615
698	126777	4407472
699	126944	4406793
700	127150	4407469
701	127334	4407352
702	127479	4405942
703	127642	4405116
704	127804	4404268
705	127964	4403353
706	128115	4402130
707	128272	4401110
708	128417	4399690
709	128588	4399168
710	128772	4399100
711	128951	4398848
712	129125	4398421
713	129314	4398515
714	129510	4398830
715	129700	4398937
716	129882	4398797
717	130064	4398628
718	130215	4397432
719	130371	4396425
720	130530	4395504
721	130699	4394910
722	130942	4396822
723	131083	4395265
724	131264	4395091
725	131446	4394964
726	131639	4395171
727	131834	4395437
728	131996	4394628
729	132159	4393861
730	132304	4392473
731	132456	4391335
732	132637	4391141
733	132804	4390523
734	132960	4389519
735	133142	4389361
736	133289	4388070
737	133448	4387176
738	133618	4386621
739	133774	4385641
740	133919	4384267
741	134081	4383480
742	134223	4382038
743	134384	4381219
744	134538	4380184
745	134694	4379189
746	134839	4377853
747	135004	4377180
748	135158	4376128
749	135291	4374422
750	135467	4374110
751	135604	4372536
752	135734	4370731
753	135896	4369960
754	136046	4368802
755	136197	4367693
756	136358	4366885
757	136514	4365932
758	136691	4365673
759	136869	4365423
760	137004	4363797
761	137178	4363424
762	137348	4362942
763	137539	4363093
764	137715	4362793
765	137888	4362387
766	138030	4361005
767	138202	4360576
768	138374	4360134
769	138508	4358506
770	138652	4357202
771	138800	4356035
772	138968	4355477
773	139104	4353922
774	139262	4353078
775	139410	4351901
776	139564	4350924
777	139709	4349657
778	139893	4349635
779	140049	4348727
780	140210	4347974
781	140382	4347535
782	140545	4346863
783	140715	4346371
784	140922	4347041
785	141088	4346454
786	141252	4345787
787	141444	4346003
788	141646	4346508
789	141832	4346528
790	142005	4346160
791	142171	4345565
792	142345	4345208
793	142495	4344124
794	142676	4343994
795	142822	4342798
796	142993	4342382
797	143176	4342317
798	143374	4342677
799	143536	4341967
800	143698	4341270
801	143873	4340965
802	144047	4340610
803	144204	4339760
804	144349	4338562
805	144520	4338128
806	144701	4337991
807	144842	4336669
808	145055	4337493
809	145235	4337327
810	145494	4339539
811	145626	4337941
812	145779	4336986
813	145978	4337395
814	146161	4337308
815	146337	4337033
816	146523	4337064
817	146705	4336951
818	146858	4335999
819	147081	4337112
820	147259	4336884
821	147404	4335701
822	147616	4336485
823	147797	4336360
824	147971	4336008
825	148118	4334876
826	148304	4334899
827	148461	4334078
828	148613	4333102
829	148758	4331931
830	148907	4330875
831	149075	4330360
832	149234	4329584
833	149394	4328864
834	149583	4328973
835	149751	4328453
836	149974	4329553
837	150144	4329113
838	150311	4328564
839	150455	4327381
840	150604	4326345
841	150748	4325163
842	150885	4323784
843	151034	4322731
844	151189	4321886
845	151371	4321794
846	151508	4320397
847	151645	4319043
848	151790	4317899
849	151964	4317593
850	152127	4316945
851	152313	4316990
852	152459	4315885
853	152647	4315951
854	152824	4315716
855	153000	4315470
856	153182	4315395
857	153393	4316111
858	153526	4314642
859	153674	4313615
860	153833	4312870
861	154017	4312841
862	154182	4312292
863	154340	4311535
864	154467	4309919
865	154616	4308911
866	154810	4309173
867	154969	4308433
868	155140	4308046
869	155298	4307299
870	155461	4306706
871	155621	4306017
872	155777	4305194
873	155939	4304584
874	156116	4304348
875	156268	4303448
876	156433	4302895
877	156611	4302712
878	156745	4301316
879	156912	4300823
880	157086	4300534
881	157308	4301551
882	157493	4301540
883	157631	4300268
884	157762	4298794
885	157919	4298059
886	158076	4297295
887	158272	4297588
888	158431	4296890
889	158621	4297034
890	158815	4297291
891	158956	4296094
892	159120	4295541
893	159285	4295011
894	159422	4293731
895	159563	4292545
896	159701	4291282
897	159884	4291234
898	160047	4290660
899	160177	4289192
900	160370	4289412
901	160512	4288294
902	160680	4287841
903	160852	4287490
904	160987	4286192
905	161149	4285580
906	161295	4284563
907	161469	4284280
908	161610	4283116
909	161758	4282146
910	161927	4281754
911	162063	4280464
912	162253	4280603
913	162422	4280198
914	162571	4279268
915	162717	4278272
916	162899	4278195
917	163059	4277556
918	163239	4277440
919	163427	4277537
920	163633	4278091
921	163805	4277763
922	163946	4276648
923	164134	4276743
924	164318	4276714
925	164473	4275966
926	164653	4275830
927	164797	4274793
928	164964	4274337
929	165105	4273201
930	165260	4272453
931	165413	4271635
932	165575	4271062
933	165721	4270072
934	165879	4269388
935	166036	4268696
936	166203	4268262
937	166408	4268776
938	166558	4267906
939	166709	4267057
940	166880	4266703
941	167010	4265338
942	167211	4265753
943	167933	4279447
944	168123	4279593
945	168311	4279664
946	168479	4279238
947	168630	4278383
948	168768	4277181
949	168925	4276477
950	169068	4275412
951	169234	4274939
952	169422	4275018
953	169581	4274368
954	169777	4274671
955	169949	4274345
956	170116	4273889
957	170272	4273172
958	170409	4271954
959	170598	4272068
960	170775	4271873
961	170954	4271718
962	171098	4270703
963	171260	4270137
964	171441	4270042
965	171589	4269123
966	171733	4268106
967	171922	4268226
968	172049	4266797
969	172194	4265795
970	172355	4265212
971	172512	4264533
972	172685	4264252
973	172900	4265005
974	173073	4264714
975	173207	4263458
976	173370	4262935
977	173505	4261708
978	173720	4262439
979	173924	4262935
980	174119	4263183
981	174288	4262790
982	174468	4262673
983	174648	4262547
984	174802	4261806
985	174947	4260830
986	175157	4261466
987	175315	4260794
988	175488	4260524
989	175637	4259655
990	175806	4259262
991	175993	4259314
992	176139	4258399
993	176284	4257426
994	176450	4256971
995	176597	4256070
996	176729	4254804
997	176884	4254101
998	177052	4253683
999	177203	4252881
1000	177384	4252788
1001	177562	4252641
1002	177739	4252462
1003	177913	4252194
1004	178089	4251994
1005	178226	4250866
1006	178392	4250406
1007	178554	4249888
1008	178719	4249410
1009	178885	4248968
1010	179066	4248878
1011	179201	4247720
1012	179367	4247279
1013	179563	4247545
1014	179722	4246934
1015	179866	4245984
1016	179998	4244746
1017	180169	4244415
1018	180316	4243549
1019	180486	4243199
1020	180629	4242231
1021	180764	4241070
1022	180919	4240387
1023	181079	4239817
1024	181242	4239316
1025	181400	4238685
1026	181555	4237993
1027	181692	4236906
1028	181823	4235648
1029	181960	4234566
1030	182119	4233974
1031	182270	4233190
1032	182411	4232182
1033	182565	4231499
1034	182733	4231119
1035	182878	4230214
1036	183022	4229284
1037	183177	4228616
1038	183347	4228293
1039	183594	4229736
1040	183772	4229586
1041	183926	4228905
1042	184088	4228382
1043	184256	4228014
1044	184418	4227496
1045	184575	4226878
1046	184704	4225632
1047	184864	4225081
1048	185003	4224050
1049	185171	4223666
1050	185345	4223434
1051	185487	4222490
1052	185667	4222401
1053	185807	4221384
1054	185946	4220374
1055	186156	4220947
1056	186303	4220112
1057	186448	4219234
1058	186580	4218055
1059	186735	4217394
1060	186901	4216987
1061	187030	4215767
1062	187187	4215155
1063	187332	4214279
1064	187467	4213187
1065	187611	4212288
1066	187777	4211873
1067	187930	4211201
1068	188073	4210266
1069	188233	4209750
1070	188427	4209967
1071	188570	4209066
1072	188699	4207829
1073	188869	4207539
1074	189034	4207111
1075	189184	4206356
1076	189350	4205975
1077	189493	4205071
1078	189685	4205254
1079	189825	4204293
1080	189995	4203975
1081	190137	4203065
1082	190293	4202444
1083	190459	4202064
1084	190643	4202069
1085	190808	4201662
1086	190977	4201327
1087	191120	4200426
1088	191310	4200563
1089	191476	4200182
1090	191637	4199689
1091	191810	4199458
1092	191986	4199289
1093	192131	4198448
1094	192293	4197966
1095	192454	4197465
1096	192619	4197075
1097	192803	4197078
1098	192939	4196034
1099	193088	4195296
1100	193259	4195017
1101	193413	4194371
1102	193551	4193387
1103	193733	4193341
1104	193866	4192245
1105	193997	4191127
1106	194170	4190887
1107	194329	4190369
1108	194479	4189639
1109	194663	4189655
1110	194805	4188761
1111	194936	4187630
1112	195092	4187040
1113	195235	4186165
1114	195411	4186003
1115	195559	4185257
1116	195704	4184440
1117	195891	4184509
1118	196041	4183800
1119	196210	4183484
1120	196387	4183351
1121	196544	4182795
1122	196742	4183099
1123	196895	4182448
1124	197048	4181805
1125	197197	4181080
1126	197354	4180510
1127	197484	4179397
1128	197638	4178766
1129	197806	4178453
1130	197967	4177979
1131	198097	4176850
1132	198240	4175988
1133	198504	4177688
1134	198678	4177496
1135	198815	4176519
1136	198957	4175661
1137	199096	4174734
1138	199249	4174100
1139	199428	4174003
1140	199585	4173444
1141	199758	4173234
1142	199925	4172896
1143	200058	4171859
1144	200193	4170838
1145	200417	4171695
1146	200589	4171463
1147	200727	4170522
1148	200858	4169428
1149	201004	4168662
1150	201163	4168155
